TEST FILE,# CARS,# SEDANS,# VANS,# TRUCKS,# RANDOM DRIVERS,# AGGRESSIVE DRIVERS,# CONSERVATIVE DRIVERS,# SLOW DRIVERS,# FAST DRIVERS,# SAFE DRIVERS,# SELFISH DRIVERS,# FAIR DRIVERS,# TEST DRIVERS,AVG. TOTAL RUNTIME,AVG. AVG. TIME/CAR,# CRASHES

1111.csv,50,50,0,0,50,0,0,0,0,0,0,0,0,165.99,0.22463123582217906,99
1112.csv,50,50,0,0,50,0,0,0,0,0,0,0,0,1.66,7.06984667802385E-4,1
1113.csv,50,50,0,0,50,0,0,0,0,0,0,0,0,1.0,0.0013868429935652608,100
1114.csv,5,5,0,0,5,0,0,0,0,0,0,0,0,7656.62,30.35228843842603,7
1115.csv,5,5,0,0,5,0,0,0,0,0,0,0,0,790.0,28.21061111111111,0
1116.csv,5,5,0,0,5,0,0,0,0,0,0,0,0,163.2120584862,28.79653174603174,0
1117.csv,5,5,0,0,0,5,0,0,0,0,0,0,0,164.80199844650002,30.498214285714283,0
1118.csv,5,5,0,0,0,5,0,0,0,0,0,0,0,166.18473658160002,30.716920634920633,0
1119.csv,5,5,0,0,0,5,0,0,0,0,0,0,0,160.3071479238,29.339990105132966,0
1120.csv,5,5,0,0,0,5,0,0,0,0,0,0,0,168.70396678510002,30.37709523809524,0
1121.csv,10,10,0,0,0,10,0,0,0,0,0,0,0,173.2902633217,16.092015849436386,0
1122.csv,20,20,0,0,0,20,0,0,0,0,0,0,0,176.69003118810002,8.100931841845114,0
1123.csv,40,40,0,0,0,40,0,0,0,0,0,0,0,18.2222222203,1.2477198777980534,9
1124.csv,30,30,0,0,0,30,0,0,0,0,0,0,0,0.1111111111,0.01013451156555625,10
1125.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,107.4442315435,5.727855957681861,4
1126.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,0.1111111111,0.011994592769478429,10
1127.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,72.2222200984,4.910529634478662,6
1128.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,0.1111111111,0.012416746140790174,10
1129.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,179.2097554855,6.563532673256946,0
1130.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,36.6666666454,3.284086621484967,8
1131.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,124.77564715819999,6.004491317651559,3
1132.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,0.1111111111,0.011715873015873016,10
1133.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,72.333331208,4.7853666666666665,6
1134.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,36.2222222015,3.173374603174602,8
1135.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,36.5555555344,3.1925222222222223,8
1136.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,72.1111089968,4.765268253968254,6
1137.csv,25,25,0,0,0,25,0,0,0,0,0,0,0,177.1220432524,6.455246031746031,0
1138.csv,20,20,0,0,0,20,0,0,0,0,0,0,0,162.4546304434,8.063230158730159,1
1139.csv,20,20,0,0,0,0,0,0,0,0,0,0,0,106.8886757045,7.1619206349206355,4
1140.csv,20,20,0,0,0,0,0,0,0,0,0,0,0,18.333333331400002,2.411398809523809,9
1141.csv,20,20,0,0,0,0,0,0,0,0,0,0,0,53.7777775734,5.093936507936507,7
1142.csv,20,20,0,0,0,0,0,0,0,0,0,0,0,144.3119111205,7.873119047619047,2
1143.csv,15,15,0,0,0,0,0,0,0,0,0,0,0,160.0093200984,10.655962962962962,1
1144.csv,15,15,0,0,151,0,0,0,0,0,0,0,0,176.230042069,10.60252380952381,0
1145.csv,15,15,0,0,151,0,0,0,0,0,0,0,0,174.6202896904,480.5103835978836,0
1146.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,163.4849229151,462.2233809523809,0
1147.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,170.8212457708,474.7166349206349,0
1148.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,168.69993880110002,451.6015873015873,0
1149.csv,5,5,0,0,51,0,0,0,0,0,0,0,0,170.9132276388,472.23294444444446,0
1150.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,166.4986414102,464.676626984127,0
1151.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,17.1381273074,126.38,0
1152.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,17.5576313592,125.82000000000001,0
1153.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,1531.0,127.64000000000001,0
1154.csv,5,5,0,0,50,0,0,0,0,0,0,0,0,1500.0,121.67999999999999,0
1155.csv,5,5,0,0,51,0,0,0,0,0,0,0,0,1471.0,123.46,0
